TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2010,2,28,0,59,10XX BURRARD ST,Central Business District,496420,5311472
Theft from Vehicle,2019,9,2,0,58,13XX ROBSON ST,West End,496585,5085187
Other Theft,2003,2,4,0,57,12XX GRANVILLE ST,Central Business District,504136,5438922
Other Theft,2006,6,26,0,57,12XX GRANVILLE ST,Central Business District,502801,5425380
Break and Enter Commercial,2008,10,3,0,56,10XX BEACH AVE,Central Business District,506912,5443501
Theft from Vehicle,2014,12,3,0,55,13XX SEYMOUR ST,Central Business District,507937,5001200
Other Theft,2004,3,20,0,55,12XX GRANVILLE ST,Central Business District,502425,5194764
Break and Enter Commercial,2015,5,21,0,55,2XX E GEORGIA ST,Strathcona,504665,5376228
Break and Enter Commercial,2011,7,12,0,54,17XX W 8TH AVE,Fairview,494824,5004223
Vehicle Collision or Pedestrian Struck (with Injury),2019,4,7,0,53,90XX HUDSON ST,Marpole,490905,5298434
Break and Enter Commercial,2015,12,13,0,52,20XX NELSON ST,West End,499526,5083802
Mischief,2010,8,28,0,52,10XX BURRARD ST,West End,494934,5111213
Break and Enter Commercial,2007,8,14,0,51,20XX W 12TH AVE,Kitsilano,503827,5083386
Theft from Vehicle,2003,5,31,0,50,13XX SW MARINE DR,Marpole,505710,5434492
Break and Enter Commercial,2009,1,11,0,50,10XX ALBERNI ST,West End,498138,5344075
Mischief,2006,9,24,0,49,10XX BEACH AVE,West End,504601,5343383
Theft from Vehicle,2018,12,20,0,49,13XX W 12TH AVE,Fairview,497117,5415480
Vehicle Collision or Pedestrian Struck (with Injury),2004,10,8,0,49,9X SMITHE ST,Central Business District,500622,5058605
Break and Enter Residential/Other,2009,11,10,0,49,11XX E BROADWAY AVE,Mount Pleasant,502423,5149223
Other Theft,2003,6,22,0,48,12XX GRANVILLE ST,Central Business District,500434,5369024
Mischief,2005,3,11,0,48,10XX BURRARD ST,Central Business District,506868,5129527
Vehicle Collision or Pedestrian Struck (with Fatality),2005,6,7,0,47,CAMBIE ST BRIDGE,Central Business District,504044,5182584
Other Theft,2003,11,13,0,46,12XX GRANVILLE ST,Central Business District,497967,5299364
Theft from Vehicle,2003,11,30,0,45,13XX SW MARINE DR,Marpole,506604,5460445
Theft from Vehicle,2004,7,28,0,45,13XX SW MARINE DR,Marpole,492643,5460328
Theft from Vehicle,2013,12,29,0,45,13XX W 13TH AVE,Fairview,490502,5130883
Break and Enter Commercial,2010,11,4,0,45,14XX COMOX ST,West End,492893,5344941
Mischief,2009,4,17,0,45,10XX BURNABY ST,West End,506085,5085578
Break and Enter Commercial,2019,11,23,0,43,14XX COMOX ST,West End,500592,5392490
Vehicle Collision or Pedestrian Struck (with Injury),2012,1,27,0,43,9XX BLOCK GRANVILLE ST,Central Business District,504141,5204169
Break and Enter Commercial,2015,3,1,0,43,20XX DUNDAS ST,Grandview-Woodland,505501,5195944
Other Theft,2011,7,22,0,42,14XX ANDERSON ST,Fairview,506223,5077597
Mischief,2011,9,18,0,42,10XX BEACH AVE,Central Business District,497887,5252351
Break and Enter Commercial,2005,2,18,0,42,6X KEEFER PL,Central Business District,511029,5369429
Break and Enter Commercial,2019,3,30,0,42,6X W 6TH AVE,Mount Pleasant,493453,5096608
Break and Enter Commercial,2010,1,18,0,40,20XX W 12TH AVE,Kitsilano,503040,5248016
Theft from Vehicle,2003,11,1,0,40,13XX SW MARINE DR,Marpole,490652,5165095
Theft from Vehicle,2005,2,11,0,40,13XX SW MARINE DR,Marpole,506633,5044019
Vehicle Collision or Pedestrian Struck (with Fatality),2007,10,14,0,40,85XX BLOCK OAK ST,Marpole,501768,5444152
Vehicle Collision or Pedestrian Struck (with Injury),2005,12,31,0,40,ALBERNI ST / BROUGHTON ST,West End,493956,5355068
Vehicle Collision or Pedestrian Struck (with Injury),2004,7,18,0,40,9XX BLOCK MAIN ST,Strathcona,508310,5372542
Vehicle Collision or Pedestrian Struck (with Injury),2003,11,22,0,39,ALBERNI ST / NICOLA ST,West End,491925,5443716
Other Theft,2012,7,2,0,39,12XX ROBSON ST,West End,509023,5006994
Other Theft,2003,9,6,0,39,12XX GRANVILLE ST,Central Business District,499228,5431898
Break and Enter Commercial,2019,12,7,0,38,69XX CAMBIE ST,Oakridge,505576,5242066
Break and Enter Commercial,2011,3,7,0,38,6X E 7TH AVE,Mount Pleasant,497200,5284127
Break and Enter Commercial,2005,4,28,0,37,10XX BEACH AVE,Central Business District,503179,5034103
Vehicle Collision or Pedestrian Struck (with Injury),2017,5,10,0,37,9XX BLOCK CANADA PL,Central Business District,498354,5148777
Mischief,2016,12,4,0,36,19XX W 4TH AVE,Kitsilano,491481,5309753
Vehicle Collision or Pedestrian Struck (with Injury),2011,5,26,0,36,ALBERNI ST / BURRARD ST,West End,501660,5277728
Mischief,2015,1,31,0,35,19XX W 57TH AVE,Kerrisdale,491517,5331780
Break and Enter Commercial,2009,7,1,0,35,10XX ALBERNI ST,West End,496769,5111615
Break and Enter Commercial,2005,6,28,0,35,2XX E GEORGIA ST,Strathcona,506571,5265681
Mischief,2006,8,24,0,34,19XX W 4TH AVE,Kitsilano,507683,5435046
Mischief,2009,1,31,0,34,10XX BURRARD ST,West End,490672,5229846
Break and Enter Commercial,2007,6,11,0,32,14XX E PENDER ST,Grandview-Woodland,501204,5082773
Theft of Bicycle,2014,7,12,0,31,E HASTINGS ST / GORE AVE,Strathcona,492543,5189646
Break and Enter Commercial,2017,7,1,0,30,17XX W 8TH AVE,Fairview,509803,5345642
Break and Enter Commercial,2005,11,17,0,30,17XX W 8TH AVE,Fairview,508647,5014422
Break and Enter Residential/Other,2007,11,15,0,30,11XX CARDERO ST,West End,505574,5098465
Theft from Vehicle,2013,5,17,0,30,13XX W 15TH AVE,Fairview,495696,5241410
Theft from Vehicle,2003,2,19,0,30,13XX SW MARINE DR,Marpole,509414,5364354
Theft from Vehicle,2003,6,25,0,30,13XX SW MARINE DR,Marpole,503688,5276319
Theft from Vehicle,2003,10,5,0,30,13XX SW MARINE DR,Marpole,510765,5354050
Theft from Vehicle,2003,12,3,0,30,13XX SW MARINE DR,Marpole,509453,5080371
Theft from Vehicle,2004,4,7,0,30,13XX SW MARINE DR,Marpole,499454,5235331
Theft from Vehicle,2005,2,4,0,30,13XX SW MARINE DR,Marpole,499071,5232547
Theft from Vehicle,2003,6,23,0,30,13XX W 41ST AVE,Shaughnessy,510590,5378927
Theft from Vehicle,2003,8,4,0,30,13XX SW MARINE DR,Marpole,499926,5171162
